accession,gene_name,protein_name,length,family,domains,n_domains,idr_percentage,idr_total_length,n_idr_regions,ps_score,ps_category,charge_density,aromatic_density,species,species_key,complexity,LLPhyScore_mean,LLPhyScore_median,LLPhyScore_max,disorder_long_mean,pi_pi_mean,electrostatic_mean,protein_water_mean,llphy_category
Q9VZQ1,Ythdc1 CG12076,YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B),721,Other,,0,85.44,607,8,0.431,Medium,24.411,5.964,Drosophila melanogaster,fly,medium,520.0,99.400638663719,1.7203390190051733,23.0,44.0,74.0,201.0,High
Q9W445,MCTS1 CG5941,Malignant T-cell-amplified sequence 1 homolog (Multiple copies in T-cell lymphoma 1 homolog) (MCT-1),182,Other,,0,28.02,39,2,0.196,Low,24.176,7.692,Drosophila melanogaster,fly,medium,-164.0,70.95799557848196,0.4507622181229134,-31.0,-37.0,-18.0,-8.0,Low
Q9VXE0,SNRPG SmG CG9742,Probable small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG),76,Other,,0,17.11,0,0,0.157,Low,28.947,3.947,Drosophila melanogaster,fly,medium,-44.0,89.13534758044707,0.6734949902075205,-16.0,-17.0,4.0,-9.0,Low
Q9VZ49,Arlr CG2145,Endoribonuclease Arlr (EC 3.1.-.-) (EC 4.6.1.-) (Poly(U)-specific endoribonuclease homolog) (Protein Age-related lipid regulator),592,Other,,0,67.91,341,7,0.348,Medium,17.399,7.77,Drosophila melanogaster,fly,medium,110.0,96.98599852616066,0.9593353810494328,6.0,-79.0,105.0,87.0,High
Q9W123,Pof CG3691,Protein painting of fourth (Zeste-interacting protein 16) (Zip16),495,RRM-containing,RRM,1,70.3,310,8,0.379,Medium,30.505,5.657,Drosophila melanogaster,fly,medium,-314.0,50.01473839351511,0.1723462530171547,-75.0,-94.0,-19.0,-17.0,Low
Q9W1F4,thoc5 CG2980,THO complex subunit 5,616,Other,,0,45.29,234,9,0.264,Low,24.513,8.442,Drosophila melanogaster,fly,medium,-747.0,13.765659543109802,-0.6313478329214688,-107.0,-188.0,-47.0,-81.0,Low
Q9W4M9,Nsun2 CG6133,tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (NOP2/Sun domain family member 2 ortholog),746,Other,,0,41.55,217,7,0.258,Low,27.212,7.507,Drosophila melanogaster,fly,medium,-705.0,15.978874969295015,-0.5533913626918563,-181.0,-192.0,-58.0,-29.0,Low
Q9VXA8,Rai1 CG9125,Decapping and exoribonuclease protein Rai1 (DXO) (EC 3.1.13.-) (EC 3.6.1.-) (Dom-3 homolog Z) (Dom3Z) (NAD-capped RNA hydrolase) (DeNADding enzyme),375,Other,,0,30.4,77,5,0.206,Low,22.667,10.133,Drosophila melanogaster,fly,medium,-398.0,39.92876443134365,0.0164333125579298,-64.0,-97.0,-8.0,-40.0,Low
Q9W2E7,Rae1 CG9862,Protein Rae1,346,Other,,0,44.51,103,4,0.263,Low,21.676,10.694,Drosophila melanogaster,fly,medium,-58.0,87.45762711864407,0.647509500130983,-57.0,-22.0,42.0,0.0,Low
Q9VYS3,Upf1 CG1559,Regulator of nonsense transcripts 1 homolog (EC 3.6.4.12) (EC 3.6.4.13),1180,Other,,0,52.88,502,15,0.287,Low,20.169,7.627,Drosophila melanogaster,fly,medium,-358.0,44.68189633996561,0.0906775699194655,-140.0,-171.0,61.0,60.0,Low
Q9W1I2,bgcn b(2)gcn CG30170,Protein benign gonial cell neoplasm,1215,Other,,0,13.33,90,5,0.13,Low,19.753,10.453,Drosophila melanogaster,fly,medium,-1729.0,1.729304839105871,-2.4540443511471692,-269.0,-416.0,-33.0,-180.0,Low
O16129,PheRS-m Aats-phe Aats-phe-m Pts CG13348,"Probable phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)",453,Other,,0,23.18,64,4,0.176,Low,21.413,10.817,Drosophila melanogaster,fly,medium,-443.0,35.180545320560064,-0.0670914769737977,-69.0,-111.0,3.0,-43.0,Low
O16797,RpL3 CG4863,Large ribosomal subunit protein uL3 (60S ribosomal protein L3),416,Other,,0,67.07,251,8,0.363,Medium,29.087,7.452,Drosophila melanogaster,fly,medium,-327.0,48.44755588307542,0.1482168693746556,-110.0,-93.0,-6.0,-53.0,Low
A1ZAX1,eIF3c eIF3-S8 CG4954,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8),910,Other,,0,52.97,430,10,0.313,Medium,32.637,7.253,Drosophila melanogaster,fly,medium,-738.0,14.207811348563007,-0.6146428750151233,-178.0,-180.0,13.0,-70.0,Low
P12297,su(w[a]) su(wa) CG3019,Protein suppressor of white apricot,963,Other,,0,80.89,744,11,0.412,Medium,27.726,4.673,Drosophila melanogaster,fly,medium,-212.0,64.04814541881602,0.3616691092890707,-105.0,-180.0,92.0,68.0,Low
P55935,RpS9 CG3395,Small ribosomal subunit protein uS4 (40S ribosomal protein S9),195,Other,,0,45.13,80,3,0.288,Low,34.872,6.667,Drosophila melanogaster,fly,medium,-212.0,64.04814541881602,0.3616691092890707,-33.0,-71.0,-16.0,-28.0,Low
P41094,RpS18 CG8900,Small ribosomal subunit protein uS13 (40S ribosomal protein S18),152,Other,,0,54.61,57,2,0.317,Medium,32.237,5.921,Drosophila melanogaster,fly,medium,-206.0,64.83173667403587,0.372805747893301,-47.0,-54.0,-12.0,-32.0,Low
P41375,eIF2beta eIF-2beta CG4153,Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF2-beta),312,Other,,0,66.03,203,4,0.379,Medium,37.5,7.051,Drosophila melanogaster,fly,medium,-38.0,89.8255956767379,0.6846316288117508,-29.0,-35.0,10.0,10.0,Low
P46222,RpL11 RPL11A CG7726,Large ribosomal subunit protein uL5 (60S ribosomal protein L11),184,Other,,0,58.15,93,4,0.332,Medium,29.891,8.696,Drosophila melanogaster,fly,medium,-136.0,75.52444116924589,0.5027331982759884,-48.0,-46.0,1.0,-16.0,Low
Q24208,eIF2gamma eIF-2gamma eIF2g CG6476,Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF2-gamma),475,Other,,0,40.63,124,7,0.236,Low,22.316,4.421,Drosophila melanogaster,fly,medium,-485.0,31.449275362318843,-0.1450479472034102,-138.0,-130.0,-19.0,-42.0,Low
Q2MGL3,Rpp20 CG33931,Ribonuclease P protein subunit p20 (RNaseP protein p20),167,Other,,0,52.1,73,2,0.28,Low,20.958,5.988,Drosophila melanogaster,fly,medium,-127.0,76.86072218128224,0.5194381561823339,-36.0,-35.0,5.0,-4.0,Low
O61305,Dbp80 Hel40 HEL80 CG17023,DEAD-box helicase Dbp80 (EC 3.6.4.13),460,Helicase,Helicase,1,35.22,102,4,0.222,Low,25.217,6.087,Drosophila melanogaster,fly,medium,-543.0,27.24883321051339,-0.2527021203776369,-121.0,-130.0,-54.0,-48.0,Low
P11596,tra CG16724,Female-specific protein transformer,197,Other,,0,89.85,172,2,0.482,Medium,37.563,8.629,Drosophila melanogaster,fly,medium,-64.0,86.66912306558586,0.6363728615267527,-35.0,-73.0,76.0,-6.0,Low
P40796,La CG10922,La protein homolog (La autoantigen homolog) (La ribonucleoprotein),390,RRM-containing,RRM,1,81.28,288,4,0.447,Medium,39.487,8.462,Drosophila melanogaster,fly,medium,-238.0,60.243183492999265,0.3134103420040725,-72.0,-81.0,-45.0,-12.0,Low
Q0E940,eIF3b eIF3-S9 CG4878,Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9),690,RRM-containing,RRM,1,36.81,187,6,0.251,Low,28.986,12.029,Drosophila melanogaster,fly,medium,-400.0,39.71997052321297,0.012721099689853,-122.0,-184.0,76.0,-64.0,Low
Q7K3M5,Dhx15 CG11107,ATP-dependent RNA helicase DHX15 homolog (EC 3.6.4.13),729,Helicase,Helicase,1,34.29,186,8,0.222,Low,24.143,8.23,Drosophila melanogaster,fly,medium,-678.0,17.779415377057237,-0.5032764889728197,-149.0,-181.0,-18.0,-36.0,Low
Q7KVQ0,Gar1 CG4038,H/ACA ribonucleoprotein complex subunit 1 (GCR 101 snRNP) (Nucleolar protein family A member 1) (Ribonucleoprotein Gar1),237,Other,,0,68.78,157,2,0.368,Medium,19.409,8.861,Drosophila melanogaster,fly,medium,525.0,99.40555146155737,1.7296195511753651,70.0,71.0,-15.0,109.0,High
P25991,su(f) CG17170,Protein suppressor of forked,765,Other,,0,36.6,197,7,0.239,Low,25.49,10.719,Drosophila melanogaster,fly,medium,-986.0,7.241464013755834,-1.0749572706566444,-195.0,-228.0,-44.0,-75.0,Low
P41374,eIF2alpha eIF2-alpha eIF2a CG9946,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),341,Other,,0,41.35,101,3,0.269,Low,34.018,6.452,Drosophila melanogaster,fly,medium,-294.0,52.721690002456405,0.2094683816979225,-81.0,-69.0,-12.0,-18.0,Low
O46072,kz CG3228,Probable ATP-dependent RNA helicase kurz (EC 3.6.4.13),1192,Helicase,Helicase,1,54.36,565,18,0.307,Medium,27.601,6.04,Drosophila melanogaster,fly,medium,-1086.0,5.816752640628839,-1.2605679140604835,-257.0,-319.0,-12.0,-75.0,Low
P47980,Tis11 TIScc1 CG4070,Protein TIS11 (dTIS11),436,Other,,0,78.44,332,8,0.372,Medium,14.679,5.275,Drosophila melanogaster,fly,medium,219.0,98.28297715549006,1.1616509823596175,40.0,-27.0,83.0,99.0,High
Q03334,RpS13 M(2)32A Rp17 CG13389,Small ribosomal subunit protein uS15 (40S ribosomal protein S13),151,Other,,0,57.62,72,2,0.325,Medium,29.801,5.96,Drosophila melanogaster,fly,medium,-198.0,66.01817735200197,0.3876545993656081,-42.0,-53.0,-8.0,-22.0,Low
Q24297,SmF DebB CG16792,Small nuclear ribonucleoprotein F (snRNP-F) (Membrane-associated protein Deb-B) (Sm protein F) (Sm-F) (SmF),88,Other,,0,14.77,12,1,0.146,Low,25.0,6.818,Drosophila melanogaster,fly,medium,-27.0,90.9972979611889,0.7050487995861731,-8.0,-19.0,3.0,4.0,Low
Q6NL34,WDR79 CG9226,Telomerase Cajal body protein 1 homolog (WD repeat-containing protein 79),543,Other,,0,41.99,157,5,0.245,Low,20.442,8.84,Drosophila melanogaster,fly,medium,-185.0,67.88258413166298,0.4117839830081072,-70.0,-68.0,27.0,13.0,Low
Q8IH00,Mat89Ba CG12785,Nucleolar protein 6 (Maternal transcript 89Ba),1193,Other,,0,37.8,339,14,0.237,Low,23.303,9.556,Drosophila melanogaster,fly,medium,-1457.0,2.6971260132645543,-1.949183401088727,-217.0,-380.0,-148.0,-86.0,Low
Q9VCA5,beta-PheRS CG5706,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),589,Other,,0,30.56,134,7,0.205,Low,23.599,7.98,Drosophila melanogaster,fly,medium,-687.0,17.145664455907642,-0.5199814468791653,-157.0,-151.0,-39.0,-64.0,Low
Q9VCK0,eIF3d1 eIF-3p66 CG10161,Eukaryotic translation initiation factor 3 subunit D-1 (eIF3d-1) (Eukaryotic translation initiation factor 3 subunit 7-1) (Eukaryotic translation initiation factor 3 subunit p66),560,Other,,0,55.36,260,9,0.316,Medium,27.679,8.75,Drosophila melanogaster,fly,medium,-173.0,69.65364775239499,0.4340572602165679,-63.0,-68.0,52.0,-3.0,Low
Q9VDE5,ppan CG5786,Protein Peter pan,460,Other,,0,53.48,230,3,0.325,Medium,36.522,6.957,Drosophila melanogaster,fly,medium,-224.0,62.25251780889217,0.3393958320806099,-83.0,-99.0,6.0,-37.0,Low
Q9VE17,snRNP-U1-C CG5454,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),145,Other,,0,56.55,52,1,0.305,Medium,15.172,7.586,Drosophila melanogaster,fly,medium,4.0,93.30631294522232,0.7625880990413633,3.0,-7.0,17.0,25.0,Medium
Q86B47,CG8611,Probable ATP-dependent RNA helicase CG8611 (EC 3.6.4.13),975,Helicase,Helicase,1,67.18,608,12,0.359,Medium,28.718,4.923,Drosophila melanogaster,fly,medium,-442.0,35.31319086219602,-0.0652353705397593,-123.0,-239.0,7.0,25.0,Low
Q8MSG8,CG5316,Aprataxin-like protein (EC 3.-.-.-),662,Other,,0,48.19,265,4,0.274,Low,21.903,8.61,Drosophila melanogaster,fly,medium,-227.0,61.79808400884304,0.3338275127784948,12.0,-107.0,10.0,-4.0,Low
Q95T19,Slimp CG31133,Serine--tRNA synthetase-like protein Slimp (Seryl-tRNA synthetase-like insect mitochondrial protein),464,IGF2BP,,0,32.76,115,5,0.212,Low,22.629,9.483,Drosophila melanogaster,fly,medium,-636.0,20.650945713583887,-0.4253200187432073,-126.0,-124.0,-43.0,-60.0,Low
Q9V3G3,cyp33 CG4886,Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin 33) (Cyclophilin E) (Rotamase E),300,RRM-containing,RRM,1,52.0,131,4,0.298,Low,25.333,9.0,Drosophila melanogaster,fly,medium,-13.0,92.18865143699338,0.7310342896627106,-51.0,-17.0,15.0,23.0,Low
Q9V4Q8,U2A CG1406,Probable U2 small nuclear ribonucleoprotein A' (U2 snRNP A'),265,Other,,0,52.08,119,1,0.293,Low,26.792,4.906,Drosophila melanogaster,fly,medium,-205.0,64.97666421026776,0.3746618543273394,-36.0,-66.0,-54.0,9.0,Low
Q8IQA2,tut anon-WO0118547.705 CG32364,Protein tumorous testis,230,RRM-containing,RRM,1,28.26,41,2,0.204,Low,24.348,12.174,Drosophila melanogaster,fly,medium,-238.0,60.243183492999265,0.3134103420040725,-46.0,-76.0,25.0,-27.0,Low
Q9GU68,eEF5 CG3186,Eukaryotic translation initiation factor 5A (eIF-5A),159,Other,,0,35.85,46,2,0.231,Low,28.931,4.403,Drosophila melanogaster,fly,medium,-84.0,83.83443871284697,0.5992507328459847,-18.0,-34.0,-14.0,-10.0,Low
Q9I7D3,Capr CG18811,Caprin homolog,961,Other,,0,89.91,853,12,0.426,Medium,17.794,5.203,Drosophila melanogaster,fly,medium,676.0,99.52345860967822,2.009891622715162,90.0,-13.0,143.0,275.0,High
Q9V3D6,Cpsf100 CG1957,Probable cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit),756,Other,,0,41.14,248,12,0.25,Low,25.926,7.275,Drosophila melanogaster,fly,medium,-679.0,17.71554900515844,-0.5051325954068582,-139.0,-184.0,-34.0,-37.0,Low
Q9VC94,Rrp5 CG5728,rRNA biogenesis protein RRP5 (Ribosomal RNA-processing protein 5 homolog),1430,Other,,0,40.7,445,15,0.25,Low,27.413,6.573,Drosophila melanogaster,fly,medium,-1309.0,3.6895111766150825,-1.6744796488510447,-325.0,-342.0,-70.0,-95.0,Low
Q9I7T7,Larp4B CG11505,La-related protein Larp4B (La ribonucleoprotein domain family member Larp4B),1531,RRM-containing,RRM,1,80.14,1175,16,0.371,Medium,12.018,4.18,Drosophila melanogaster,fly,medium,520.0,99.400638663719,1.7203390190051733,-25.0,9.0,213.0,319.0,High
Q9V3U2,NHP2 CG5258,H/ACA ribonucleoprotein complex subunit 2 (H/ACA snoRNP protein NHP2) (Nucleolar protein family A member 2-like protein),160,Other,,0,53.75,50,2,0.315,Medium,32.5,5.625,Drosophila melanogaster,fly,medium,-115.0,78.80373372635717,0.5417114333907946,-37.0,-30.0,-2.0,-11.0,Low
Q9V5P6,Nop10 CG7637,H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (Ribonucleoprotein Nop10) (snoRNP protein dNop10),64,Other,,0,60.94,39,1,0.354,Medium,31.25,10.938,Drosophila melanogaster,fly,medium,-86.0,83.53475804470646,0.595538519977908,-13.0,-24.0,-5.0,-13.0,Low
Q9VD51,pit CG6375,Probable ATP-dependent RNA helicase pitchoune (EC 3.6.4.13),680,Helicase,Helicase,1,55.88,316,6,0.322,Medium,30.882,6.765,Drosophila melanogaster,fly,medium,-255.0,57.87275853598625,0.2818565326254198,-69.0,-133.0,41.0,-21.0,Low
Q9VE51,Cpsf73 CG7698,Cleavage and polyadenylation specificity factor 73 (EC 3.1.27.-),684,Other,,0,27.63,120,6,0.191,Low,23.392,7.602,Drosophila melanogaster,fly,medium,-765.0,12.807663964627857,-0.6647577487341598,-193.0,-169.0,-24.0,-53.0,Low
Q9VLV5,SmE CG18591,Probable small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE),94,Other,,0,7.45,0,0,0.116,Low,25.532,8.511,Drosophila melanogaster,fly,medium,-101.0,81.06362073200688,0.5676969234673321,-16.0,-32.0,13.0,-26.0,Low
Q9VPD5,mTerf3 CG5047,"Transcription termination factor 3, mitochondrial (Mitochondrial transcription termination factor 3) (mTerf3)",354,Other,,0,36.72,81,4,0.243,Low,28.249,9.605,Drosophila melanogaster,fly,medium,-354.0,45.06755097027758,0.098101995655619,-56.0,-105.0,-34.0,-31.0,Low
Q9W3J5,alpha-PheRS CG2263,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),498,Other,,0,41.77,140,9,0.253,Low,23.494,9.036,Drosophila melanogaster,fly,medium,-498.0,30.483910587079343,-0.1691773308459093,-90.0,-83.0,-68.0,-4.0,Low
Q9VIV2,swm CG10084,Zinc finger protein swm (Protein second mitotic wave missing),1062,RRM-containing,RRM,1,81.07,816,14,0.407,Medium,24.765,4.143,Drosophila melanogaster,fly,medium,-133.0,76.05011053795137,0.5083015175781036,-100.0,-101.0,42.0,143.0,Low
Q9VM75,Heatr1 l(2)k09022 CG10805,HEAT repeat-containing protein 1 homolog,2096,Other,,0,30.1,450,21,0.194,Low,21.517,7.156,Drosophila melanogaster,fly,medium,-3401.0,0.3537214443625645,-5.55745430885936,-494.0,-785.0,-345.0,-217.0,Low
Q9VPT8,Clp CPSF30 Ssb-c6a CG3642,Cleavage and polyadenylation specificity factor subunit 4 (EC 3.1.-.-) (Cleavage and polyadenylation specificity factor 30 kDa subunit) (Protein clipper),296,Other,,0,39.19,56,2,0.24,Low,21.959,8.784,Drosophila melanogaster,fly,medium,-108.0,80.05158437730287,0.5547041784290634,-5.0,-28.0,-17.0,-12.0,Low
Q9VK89,Trm1 CG6388,"tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)",578,Other,,0,51.9,251,8,0.29,Low,23.875,6.574,Drosophila melanogaster,fly,medium,-460.0,33.63055760255466,-0.0986452863524504,-75.0,-129.0,-3.0,-20.0,Low
Q9VL25,ath CG4901,ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33 homolog) (Protein athos),694,Helicase,Helicase,1,34.87,175,7,0.221,Low,23.919,7.781,Drosophila melanogaster,fly,medium,-924.0,8.354212724146402,-0.959878671746264,-197.0,-220.0,-26.0,-85.0,Low
Q9VSK8,ZC3H3 CG6694,Zinc finger CCCH domain-containing protein 3 (dZC3H3),597,Other,,0,59.8,320,11,0.319,Medium,23.786,5.025,Drosophila melanogaster,fly,medium,-578.0,24.728567919430116,-0.3176658455689806,-93.0,-198.0,-9.0,-50.0,Low
Q9VSK9,Pus7 CG6745,Pseudouridylate synthase 7 homolog (EC 5.4.99.-),734,Other,,0,64.17,430,11,0.353,Medium,29.837,7.084,Drosophila melanogaster,fly,medium,-349.0,45.59322033898305,0.107382527825811,-100.0,-154.0,-23.0,29.0,Low
Q9W107,TyrRS-m Aats-tyr-m CG16912,"Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Mitochondrial tyrosyl-tRNA synthetase) (Tyrosyl-tRNA synthetase) (TyrRS)",464,Other,,0,34.91,118,6,0.219,Low,22.414,7.759,Drosophila melanogaster,fly,medium,-478.0,32.026529108327196,-0.1320552021651414,-93.0,-136.0,-51.0,-22.0,Low
Q9Y113,NELF-B CG32721,Negative elongation factor B,594,Other,,0,28.45,116,5,0.196,Low,24.747,6.566,Drosophila melanogaster,fly,medium,-987.0,7.236551215917466,-1.0768133770906827,-150.0,-199.0,-117.0,-93.0,Low
Q9VH38,mtTFB2 CG3910,"Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2) (d-mtTFB2)",452,Other,,0,36.95,104,4,0.236,Low,22.566,11.062,Drosophila melanogaster,fly,medium,-406.0,39.03954802259887,0.0015844610856227,-60.0,-138.0,9.0,-30.0,Low
Q9VJQ4,Rnmt br9 l(2)br9 CG3688,mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase),427,Other,,0,48.48,186,4,0.289,Low,27.4,10.304,Drosophila melanogaster,fly,medium,-281.0,54.5099484156227,0.2335977653404216,-73.0,-57.0,-18.0,-2.0,Low
Q9VRJ1,AlaRS-m Aats-ala-m alaS CG4633,"Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)",1012,Other,,0,37.06,244,13,0.226,Low,22.332,7.51,Drosophila melanogaster,fly,medium,-916.0,8.57774502579219,-0.9450298202739568,-209.0,-217.0,-72.0,-42.0,Low
Q9VTM5,mtTFB1 CG42631,"Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1) (d-mtTFB1)",330,Other,,0,37.58,104,5,0.241,Low,26.97,6.667,Drosophila melanogaster,fly,medium,-437.0,35.82166543846721,-0.0559548383695674,-90.0,-138.0,-21.0,-46.0,Low
Q9VX98,DENR CG9099,Density-regulated protein homolog,189,Other,,0,57.14,85,3,0.344,Medium,37.037,7.407,Drosophila melanogaster,fly,medium,-52.0,88.13804961925817,0.6586461387352133,-47.0,-23.0,11.0,-5.0,Low
Q9VNV3,Ddx1 CG9054,ATP-dependent RNA helicase Ddx1 (DEAD box protein 1) (EC 3.6.4.13),727,Helicase,Helicase,1,39.75,192,7,0.244,Low,24.209,7.565,Drosophila melanogaster,fly,medium,-369.0,43.37754851387866,0.0702603991450432,-125.0,-96.0,-41.0,12.0,Low
Q9W1V3,Fib CG9888,rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase),344,Other,,0,68.02,180,4,0.358,Medium,21.802,6.395,Drosophila melanogaster,fly,medium,289.0,98.67845738147876,1.2915784327423048,-19.0,24.0,-12.0,87.0,High
A1Z9A8,Ptcd3 CG4679,"Small ribosomal subunit protein mS39 (Pentatricopeptide repeat domain-containing protein 3 homolog, mitochondrial)",652,Other,,0,44.79,223,8,0.266,Low,24.847,8.742,Drosophila melanogaster,fly,medium,-826.0,10.749201670351264,-0.7779802412105017,-147.0,-167.0,-74.0,-33.0,Low
P32100,RpL7 CG4897,Large ribosomal subunit protein uL30 (60S ribosomal protein L7),252,Other,,0,42.86,98,3,0.273,Low,30.556,9.127,Drosophila melanogaster,fly,medium,-194.0,66.53893392286908,0.3950790251017617,-40.0,-65.0,-3.0,-31.0,Low
P39018,RpS19a RpS19 CG4464,Small ribosomal subunit protein eS19A (40S ribosomal protein S19a),156,Other,,0,62.82,84,1,0.342,Medium,27.564,6.41,Drosophila melanogaster,fly,medium,-168.0,70.34143944976665,0.4433377923867599,-50.0,-10.0,-18.0,-14.0,Low
P41042,RpS4 RP4 CG11276,Small ribosomal subunit protein eS4 (40S ribosomal protein S4),261,Other,,0,41.0,62,3,0.257,Low,27.203,7.28,Drosophila melanogaster,fly,medium,-227.0,61.79808400884304,0.3338275127784948,-78.0,-62.0,-11.0,-25.0,Low
P50887,RpL22 CG7434,Large ribosomal subunit protein eL22 (60S ribosomal protein L22),299,Other,,0,73.58,212,2,0.388,Medium,30.435,4.013,Drosophila melanogaster,fly,medium,-100.0,81.23311225743062,0.5695530299013706,-123.0,52.0,-42.0,83.0,Low
P55828,RpS20 CG15693,Small ribosomal subunit protein uS10 (40S ribosomal protein S20),120,Other,,0,45.83,41,2,0.266,Low,28.333,1.667,Drosophila melanogaster,fly,medium,-136.0,75.52444116924589,0.5027331982759884,-34.0,-42.0,5.0,-27.0,Low
O02195,eIF3i eif3-S2 Trip1 CG8882,Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TRIP-1 homolog) (eIF-3-beta),326,Other,,0,49.39,100,5,0.282,Low,23.313,9.509,Drosophila melanogaster,fly,medium,-78.0,84.7482191107836,0.6103873714502152,-75.0,-42.0,28.0,7.0,Low
P36241,RpL19 M(2)60E CG2746,Large ribosomal subunit protein eL19 (60S ribosomal protein L19),203,Other,,0,60.59,88,2,0.352,Medium,38.916,4.433,Drosophila melanogaster,fly,medium,-180.0,68.65143699336772,0.4210645151782992,-42.0,-54.0,-10.0,-30.0,Low
P46223,RpL7A SURF-3 CG3314,Large ribosomal subunit protein eL8 (60S ribosomal protein L7a),271,Other,,0,59.78,138,5,0.339,Medium,32.103,5.166,Drosophila melanogaster,fly,medium,-266.0,56.394006386637194,0.2614393618509975,-49.0,-84.0,-31.0,-34.0,Low
P51406,bys CG1430,Bystin (Protein bys),436,Other,,0,50.0,200,6,0.296,Low,30.046,7.798,Drosophila melanogaster,fly,medium,-481.0,31.795627609923855,-0.1376235214672566,-105.0,-115.0,-35.0,-29.0,Low
P13008,RpS26 CG10305,Small ribosomal subunit protein eS26 (40S ribosomal protein S26) (DS31),114,Other,,0,53.51,51,2,0.312,Medium,32.456,5.263,Drosophila melanogaster,fly,medium,-145.0,73.98673544583642,0.4860282403696429,-38.0,-31.0,0.0,-23.0,Low
P55841,RpL14 CG6253,Large ribosomal subunit protein eL14 (60S ribosomal protein L14),166,Other,,0,64.46,94,3,0.365,Medium,33.735,7.831,Drosophila melanogaster,fly,medium,-144.0,74.16113976909851,0.4878843468036813,-38.0,-34.0,-13.0,-14.0,Low
Q02926,Rb97D Hrb97D CG6354,Ribonucleoprotein RB97D,471,RRM-containing,RRM,1,76.01,335,4,0.385,Medium,17.41,8.28,Drosophila melanogaster,fly,medium,230.0,98.3542127241464,1.1820681531340398,34.0,36.0,65.0,122.0,High
Q0E9B6,RpS11 CG8857,Small ribosomal subunit protein uS17 (40S ribosomal protein S11),155,Other,,0,52.9,76,3,0.321,Medium,34.194,8.387,Drosophila melanogaster,fly,medium,-74.0,85.32056005895357,0.6178117971863687,-36.0,-42.0,12.0,-25.0,Low
O17445,RpL15 ZITI CG17420,Large ribosomal subunit protein eL15 (60S ribosomal protein L15),204,Other,,0,60.78,121,2,0.351,Medium,31.863,9.804,Drosophila melanogaster,fly,medium,-225.0,62.112503070498654,0.3375397256465716,-58.0,-64.0,13.0,-29.0,Low
P26802,Dbp73D CG9680,Probable ATP-dependent RNA helicase Dbp73D (DEAD box protein 73D) (EC 3.6.4.13),687,Helicase,Helicase,1,57.35,350,11,0.321,Medium,29.549,5.968,Drosophila melanogaster,fly,medium,-622.0,21.58437730287399,-0.3993345286666698,-117.0,-186.0,-60.0,-58.0,Low
