accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
Q9U2Q9	Caenorhabditis_elegans	362	0.105	38	1	38	prediction-disorder-mobidb_lite
P48727	Caenorhabditis_elegans	333	0.084	28	1	28	prediction-disorder-mobidb_lite
P10299	Caenorhabditis_elegans	208	0.058	12	2	11	prediction-disorder-th_50
P91252	Caenorhabditis_elegans	206	0.029	6	2	5	prediction-disorder-th_50
P91253	Caenorhabditis_elegans	206	0.044	9	2	6	prediction-disorder-th_50
Q09607	Caenorhabditis_elegans	210	0.043	9	3	7	prediction-disorder-th_50
Q9U2D9	Caenorhabditis_elegans	672	0.042	28	1	28	prediction-disorder-mobidb_lite
P92022	Caenorhabditis_elegans	97	0.072	7	1	7	prediction-disorder-th_50
O17695	Caenorhabditis_elegans	461	0.126	58	1	58	prediction-disorder-mobidb_lite
Q18212	Caenorhabditis_elegans	425	0.073	31	1	31	prediction-disorder-mobidb_lite
Q9Y041	Caenorhabditis_elegans	437	0.046	20	1	20	prediction-disorder-mobidb_lite
O01833	Caenorhabditis_elegans	225	0.462	104	2	81	prediction-disorder-mobidb_lite
O18017	Caenorhabditis_elegans	988	0.173	171	3	74	prediction-disorder-mobidb_lite
P10771	Caenorhabditis_elegans	208	0.519	108	1	108	prediction-disorder-mobidb_lite
P04255	Caenorhabditis_elegans	122	0.246	30	1	30	prediction-disorder-mobidb_lite
P08898	Caenorhabditis_elegans	136	0.316	43	1	43	prediction-disorder-mobidb_lite
P62784	Caenorhabditis_elegans	103	0.194	20	1	20	prediction-disorder-mobidb_lite
P09588	Caenorhabditis_elegans	127	0.181	23	1	23	prediction-disorder-mobidb_lite
Q22633	Caenorhabditis_elegans	393	0.041	16	2	10	prediction-disorder-th_50
Q22037	Caenorhabditis_elegans	346	0.514	178	2	158	prediction-disorder-mobidb_lite
Q9NLD1	Caenorhabditis_elegans	611	0.213	130	3	60	prediction-disorder-mobidb_lite
P34183	Caenorhabditis_elegans	521	0.075	39	7	22	prediction-disorder-th_50
P09446	Caenorhabditis_elegans	640	0.044	28	1	28	prediction-disorder-mobidb_lite
P11141	Caenorhabditis_elegans	657	0.032	21	1	21	prediction-disorder-mobidb_lite
P34328	Caenorhabditis_elegans	110	0.136	15	4	6	prediction-disorder-th_50
P34696	Caenorhabditis_elegans	145	0.234	34	6	19	prediction-disorder-th_50
Q18885	Caenorhabditis_elegans	161	0.373	60	2	34	prediction-disorder-mobidb_lite
O45551	Caenorhabditis_elegans	212	0.099	21	2	11	prediction-disorder-th_50
Q21693	Caenorhabditis_elegans	228	0.149	34	4	20	prediction-disorder-th_50
O61955	Caenorhabditis_elegans	251	0.207	52	1	52	prediction-disorder-mobidb_lite
Q22888	Caenorhabditis_elegans	212	0.075	16	3	8	prediction-disorder-th_50
P56570	Caenorhabditis_elegans	201	0.04	8	2	6	prediction-disorder-th_50
P34563	Caenorhabditis_elegans	161	0.149	24	3	19	prediction-disorder-th_50
Q20751	Caenorhabditis_elegans	161	0.161	26	3	20	prediction-disorder-th_50
B5BM23	Caenorhabditis_elegans	1042	0.325	339	4	186	prediction-disorder-mobidb_lite
P91276	Caenorhabditis_elegans	531	0.205	109	2	88	prediction-disorder-mobidb_lite
Q19969	Caenorhabditis_elegans	514	0.179	92	2	62	prediction-disorder-mobidb_lite
Q9BIB8	Caenorhabditis_elegans	896	0.029	26	11	6	prediction-disorder-th_50
A0A131MBF9	Caenorhabditis_elegans	889	0.057	51	1	51	prediction-disorder-mobidb_lite
Q23089	Caenorhabditis_elegans	1080	0.022	24	1	24	prediction-disorder-mobidb_lite
Q965V4	Caenorhabditis_elegans	938	0.028	26	5	9	prediction-disorder-th_50
Q9GYQ7	Caenorhabditis_elegans	950	0.023	22	5	9	prediction-disorder-th_50
P27639	Caenorhabditis_elegans	402	0.032	13	2	8	prediction-disorder-th_50
Q09499	Caenorhabditis_elegans	967	0.042	41	2	21	prediction-disorder-mobidb_lite
Q21926	Caenorhabditis_elegans	1141	0.032	37	6	13	prediction-disorder-th_50
E2JL04	Caenorhabditis_elegans	970	0.064	62	7	20	prediction-disorder-th_50
P41877	Caenorhabditis_elegans	1009	0.148	149	4	48	prediction-disorder-mobidb_lite
P18334	Caenorhabditis_elegans	360	0.075	27	1	27	prediction-disorder-mobidb_lite
P42168	Caenorhabditis_elegans	341	0.106	36	1	36	prediction-disorder-mobidb_lite
P46822	Caenorhabditis_elegans	540	0.28	151	20	24	prediction-disorder-th_50
Q22099	Caenorhabditis_elegans	572	0.049	28	1	28	prediction-disorder-mobidb_lite
D0PV95	Caenorhabditis_elegans	708	0.391	277	2	191	prediction-disorder-mobidb_lite
P34629	Caenorhabditis_elegans	491	0.041	20	5	9	prediction-disorder-th_50
Q27245	Caenorhabditis_elegans	522	0.029	15	5	6	prediction-disorder-th_50
Q20224	Caenorhabditis_elegans	161	0.068	11	3	6	prediction-disorder-th_50
O01812	Caenorhabditis_elegans	135	0.081	11	2	6	prediction-disorder-th_50
O02323	Caenorhabditis_elegans	137	0.058	8	2	5	prediction-disorder-th_50
Q27888	Caenorhabditis_elegans	333	0.021	7	2	4	prediction-disorder-th_50
P36573	Caenorhabditis_elegans	279	0.097	27	4	10	prediction-disorder-th_50
Q09610	Caenorhabditis_elegans	180	0.067	12	1	12	prediction-disorder-th_50
Q9N373	Caenorhabditis_elegans	413	0.061	25	1	25	prediction-disorder-mobidb_lite
P22981	Caenorhabditis_elegans	184	0.158	29	3	20	prediction-disorder-th_50
P02567	Caenorhabditis_elegans	1938	0.031	60	2	33	prediction-disorder-mobidb_lite
G5EBZ4	Caenorhabditis_elegans	1829	0.211	386	6	85	prediction-disorder-mobidb_lite
Q20937	Caenorhabditis_elegans	2641	0.103	272	6	117	prediction-disorder-mobidb_lite
P34346	Caenorhabditis_elegans	251	0.08	20	1	20	prediction-disorder-mobidb_lite
Q09517	Caenorhabditis_elegans	316	0.038	12	1	12	prediction-disorder-th_50
Q17336	Caenorhabditis_elegans	897	0.438	393	3	209	prediction-disorder-mobidb_lite
Q22866	Caenorhabditis_elegans	284	0.137	39	1	39	prediction-disorder-mobidb_lite
P92186	Caenorhabditis_elegans	227	0.326	74	2	47	prediction-disorder-mobidb_lite
P90916	Caenorhabditis_elegans	417	0.091	38	5	13	prediction-disorder-th_50
Q21443	Caenorhabditis_elegans	566	0.134	76	2	39	prediction-disorder-mobidb_lite
Q11117	Caenorhabditis_elegans	237	0.034	8	1	8	prediction-disorder-th_50
Q8IG68	Caenorhabditis_elegans	318	0.66	210	1	210	prediction-disorder-mobidb_lite
O44991	Caenorhabditis_elegans	573	0.353	202	2	179	prediction-disorder-mobidb_lite
Q95Y89	Caenorhabditis_elegans	531	0.145	77	9	20	prediction-disorder-th_50
A0A1N7SYX2	Caenorhabditis_elegans	250	0.032	8	2	4	prediction-disorder-th_50
Q09996	Caenorhabditis_elegans	1186	0.024	28	6	13	prediction-disorder-th_50
B3WFV4	Caenorhabditis_elegans	455	0.055	25	2	18	prediction-disorder-th_50
Q20229	Caenorhabditis_elegans	125	0.176	22	3	16	prediction-disorder-th_50
Q9U1W8	Caenorhabditis_elegans	102	0.127	13	2	8	prediction-disorder-th_50
Q19952	Caenorhabditis_elegans	123	0.317	39	1	39	prediction-disorder-mobidb_lite
O18694	Caenorhabditis_elegans	91	0.198	18	2	10	prediction-disorder-th_50
Q95XN6	Caenorhabditis_elegans	77	0.169	13	2	8	prediction-disorder-th_50
Q23543	Caenorhabditis_elegans	104	0.26	27	3	11	prediction-disorder-th_50
Q95XD4	Caenorhabditis_elegans	98	0.061	6	3	3	prediction-disorder-th_50
A0A0S4XR43	Caenorhabditis_elegans	1215	0.394	479	7	152	prediction-disorder-mobidb_lite
P49029	Caenorhabditis_elegans	152	0.112	17	2	10	prediction-disorder-th_50
Q21902	Caenorhabditis_elegans	759	0.049	37	8	8	prediction-disorder-th_50
O02640	Caenorhabditis_elegans	341	0.023	8	3	4	prediction-disorder-th_50
P12456	Caenorhabditis_elegans	441	0.045	20	3	16	prediction-disorder-th_50
G5ECJ4	Caenorhabditis_elegans	312	0.077	24	1	24	prediction-disorder-mobidb_lite
Q10664	Caenorhabditis_elegans	387	0.096	37	1	37	prediction-disorder-mobidb_lite
G2HJZ1	Caenorhabditis_elegans	219	0.379	83	3	35	prediction-disorder-mobidb_lite
H2L067	Caenorhabditis_elegans	443	0.122	54	2	28	prediction-disorder-mobidb_lite
Q9XUB2	Caenorhabditis_elegans	468	0.244	114	3	55	prediction-disorder-mobidb_lite
Q09436	Caenorhabditis_elegans	467	0.233	109	3	47	prediction-disorder-mobidb_lite
Q18785	Caenorhabditis_elegans	120	0.083	10	2	6	prediction-disorder-th_50
P19625	Caenorhabditis_elegans	170	0.129	22	1	22	prediction-disorder-mobidb_lite
P19626	Caenorhabditis_elegans	170	0.129	22	1	22	prediction-disorder-mobidb_lite
P53014	Caenorhabditis_elegans	153	0.105	16	3	8	prediction-disorder-th_50
Q09510	Caenorhabditis_elegans	172	0.14	24	2	15	prediction-disorder-th_50
Q17895	Caenorhabditis_elegans	249	0.185	46	1	46	prediction-disorder-mobidb_lite
Q9XV46	Caenorhabditis_elegans	367	0.302	111	3	57	prediction-disorder-mobidb_lite
P34498	Caenorhabditis_elegans	1131	0.265	300	3	225	prediction-disorder-mobidb_lite
Q9BLB6	Caenorhabditis_elegans	253	0.257	65	2	43	prediction-disorder-mobidb_lite
G5EBT5	Caenorhabditis_elegans	451	0.769	347	2	324	prediction-disorder-mobidb_lite
O45244	Caenorhabditis_elegans	1008	0.097	98	3	43	prediction-disorder-mobidb_lite
Q09530	Caenorhabditis_elegans	1200	0.143	172	3	91	prediction-disorder-mobidb_lite
O44997	Caenorhabditis_elegans	1425	0.064	91	9	20	prediction-disorder-th_50
A7DTF0	Caenorhabditis_elegans	337	0.116	39	1	39	prediction-disorder-mobidb_lite
Q20970	Caenorhabditis_elegans	917	0.088	81	2	48	prediction-disorder-mobidb_lite
G5EFS2	Caenorhabditis_elegans	320	0.15	48	1	48	prediction-disorder-mobidb_lite
Q19832	Caenorhabditis_elegans	127	0.236	30	6	16	prediction-disorder-th_50
P05634	Caenorhabditis_elegans	127	0.205	26	5	14	prediction-disorder-th_50
Q94053	Caenorhabditis_elegans	127	0.213	27	6	16	prediction-disorder-th_50
O02365	Caenorhabditis_elegans	581	0.134	78	3	35	prediction-disorder-mobidb_lite
Q27371	Caenorhabditis_elegans	405	0.644	261	4	98	prediction-disorder-mobidb_lite
Q8IA66	Caenorhabditis_elegans	338	0.062	21	6	15	prediction-disorder-th_50
P34607	Caenorhabditis_elegans	910	0.06	55	8	18	prediction-disorder-th_50
Q17978	Caenorhabditis_elegans	528	0.049	26	1	26	prediction-disorder-mobidb_lite
P12845	Caenorhabditis_elegans	1947	0.06	117	4	43	prediction-disorder-mobidb_lite
P12844	Caenorhabditis_elegans	1969	0.078	154	4	83	prediction-disorder-mobidb_lite
O62255	Caenorhabditis_elegans	786	0.226	178	3	124	prediction-disorder-mobidb_lite
O76463	Caenorhabditis_elegans	440	0.043	19	1	19	curated-disorder-merge
Q9XXN4	Caenorhabditis_elegans	651	0.166	108	2	56	prediction-disorder-mobidb_lite
Q09597	Caenorhabditis_elegans	311	0.193	60	2	34	prediction-disorder-mobidb_lite
O62486	Caenorhabditis_elegans	871	0.8	697	5	312	prediction-disorder-mobidb_lite
Q09601	Caenorhabditis_elegans	381	0.26	99	2	73	prediction-disorder-mobidb_lite
Q19722	Caenorhabditis_elegans	545	0.048	26	3	21	prediction-disorder-th_50
Q21086	Caenorhabditis_elegans	556	0.183	102	3	48	prediction-disorder-mobidb_lite
Q10923	Caenorhabditis_elegans	444	0.297	132	16	23	prediction-disorder-th_50
G5EFX8	Caenorhabditis_elegans	701	0.347	243	5	103	prediction-disorder-mobidb_lite
W6RTE4	Caenorhabditis_elegans	798	0.345	275	6	73	prediction-disorder-mobidb_lite
Q9XVS7	Caenorhabditis_elegans	628	0.059	37	1	37	prediction-disorder-mobidb_lite
Q9U757	Caenorhabditis_elegans	137	0.131	18	2	14	prediction-disorder-th_50
Q93560	Caenorhabditis_elegans	817	0.209	171	2	109	prediction-disorder-mobidb_lite
G5EC86	Caenorhabditis_elegans	407	0.096	39	1	39	prediction-disorder-mobidb_lite
Q23359	Caenorhabditis_elegans	393	0.206	81	3	30	prediction-disorder-mobidb_lite
Q09543	Caenorhabditis_elegans	590	0.024	14	2	8	prediction-disorder-th_50
Q9U302	Caenorhabditis_elegans	646	0.116	75	1	75	prediction-disorder-mobidb_lite
Q19579	Caenorhabditis_elegans	692	0.127	88	1	88	prediction-disorder-mobidb_lite
Q93233	Caenorhabditis_elegans	205	0.224	46	2	25	prediction-disorder-mobidb_lite
O17586	Caenorhabditis_elegans	246	0.077	19	2	10	prediction-disorder-th_50
Q95005	Caenorhabditis_elegans	253	0.063	16	4	10	prediction-disorder-th_50
Q95008	Caenorhabditis_elegans	248	0.048	12	2	8	prediction-disorder-th_50
O44156	Caenorhabditis_elegans	260	0.081	21	1	21	prediction-disorder-mobidb_lite
Q09583	Caenorhabditis_elegans	250	0.064	16	3	8	prediction-disorder-th_50
Q22829	Caenorhabditis_elegans	470	0.149	70	2	45	prediction-disorder-mobidb_lite
Q23237	Caenorhabditis_elegans	204	0.039	8	3	4	prediction-disorder-th_50
P91477	Caenorhabditis_elegans	199	0.02	4	3	2	prediction-disorder-th_50
Q27873	Caenorhabditis_elegans	225	0.102	23	4	12	prediction-disorder-th_50
O02115	Caenorhabditis_elegans	263	0.072	19	4	9	prediction-disorder-th_50
Q17967	Caenorhabditis_elegans	485	0.045	22	3	17	prediction-disorder-th_50
Q17770	Caenorhabditis_elegans	493	0.055	27	1	27	prediction-disorder-mobidb_lite
Q95Y67	Caenorhabditis_elegans	432	0.15	65	2	36	prediction-disorder-mobidb_lite
Q9XW16	Caenorhabditis_elegans	132	0.068	9	2	5	prediction-disorder-th_50
Q20025	Caenorhabditis_elegans	131	0.061	8	2	4	prediction-disorder-th_50
Q9TZQ3	Caenorhabditis_elegans	730	0.195	142	3	73	prediction-disorder-mobidb_lite
Q9BKU4	Caenorhabditis_elegans	275	0.033	9	2	5	prediction-disorder-th_50
P50093	Caenorhabditis_elegans	294	0.051	15	4	8	prediction-disorder-th_50
G5EBY6	Caenorhabditis_elegans	110	0.127	14	2	8	prediction-disorder-th_50
Q20065	Caenorhabditis_elegans	539	0.024	13	2	10	prediction-disorder-th_50
Q94131	Caenorhabditis_elegans	335	0.176	59	1	59	prediction-disorder-mobidb_lite
Q94230	Caenorhabditis_elegans	226	0.181	41	5	14	prediction-disorder-th_50
Q9N4H4	Caenorhabditis_elegans	945	0.06	57	1	57	prediction-disorder-mobidb_lite
Q09525	Caenorhabditis_elegans	538	0.102	55	2	30	prediction-disorder-mobidb_lite
Q9TXQ1	Caenorhabditis_elegans	2276	0.055	125	3	80	prediction-disorder-mobidb_lite
G5EF15	Caenorhabditis_elegans	264	0.102	27	1	27	prediction-disorder-mobidb_lite
Q86NJ8	Caenorhabditis_elegans	887	0.029	26	7	14	prediction-disorder-th_50
Q9N585	Caenorhabditis_elegans	975	0.028	27	1	27	prediction-disorder-mobidb_lite
Q10124	Caenorhabditis_elegans	1647	0.539	888	5	439	prediction-disorder-mobidb_lite
Q95R13	Caenorhabditis_elegans	457	0.068	31	1	31	prediction-disorder-mobidb_lite
H2KZU0	Caenorhabditis_elegans	696	0.647	450	4	375	prediction-disorder-mobidb_lite
P90786	Caenorhabditis_elegans	824	0.029	24	1	24	prediction-disorder-mobidb_lite
Q22006	Caenorhabditis_elegans	529	0.066	35	1	35	prediction-disorder-mobidb_lite
P34369	Caenorhabditis_elegans	2329	0.023	53	1	53	prediction-disorder-mobidb_lite
G5ECL3	Caenorhabditis_elegans	655	0.041	27	1	27	prediction-disorder-mobidb_lite
Q22620	Caenorhabditis_elegans	581	0.067	39	1	39	prediction-disorder-mobidb_lite
O45869	Caenorhabditis_elegans	454	0.035	16	7	7	prediction-disorder-th_50
G5EF53	Caenorhabditis_elegans	1474	0.191	281	7	93	prediction-disorder-mobidb_lite
Q18999	Caenorhabditis_elegans	615	0.033	20	1	20	prediction-disorder-mobidb_lite
Q9U2G4	Caenorhabditis_elegans	502	0.044	22	1	22	prediction-disorder-mobidb_lite
O01322	Caenorhabditis_elegans	485	0.087	42	2	22	prediction-disorder-mobidb_lite
O44169	Caenorhabditis_elegans	485	0.091	44	1	44	prediction-disorder-mobidb_lite
Q09487	Caenorhabditis_elegans	535	0.073	39	5	14	prediction-disorder-th_50
Q23191	Caenorhabditis_elegans	703	0.155	109	2	88	prediction-disorder-mobidb_lite
Q9XXN0	Caenorhabditis_elegans	415	0.087	36	1	36	prediction-disorder-mobidb_lite
Q9UAQ6	Caenorhabditis_elegans	205	0.141	29	1	29	prediction-disorder-mobidb_lite
P91857	Caenorhabditis_elegans	208	0.106	22	1	22	prediction-disorder-mobidb_lite
P34213	Caenorhabditis_elegans	205	0.156	32	5	16	prediction-disorder-th_50
Q22782	Caenorhabditis_elegans	205	0.093	19	5	6	prediction-disorder-th_50
Q23146	Caenorhabditis_elegans	209	0.139	29	1	29	prediction-disorder-mobidb_lite
O01803	Caenorhabditis_elegans	211	0.118	25	1	25	prediction-disorder-mobidb_lite
Q1ZXR4	Caenorhabditis_elegans	198	0.106	21	2	19	prediction-disorder-th_50
Q93874	Caenorhabditis_elegans	210	0.148	31	4	19	prediction-disorder-th_50
Q8MXS1	Caenorhabditis_elegans	203	0.158	32	2	22	prediction-disorder-th_50
Q22045	Caenorhabditis_elegans	207	0.174	36	4	20	prediction-disorder-th_50
Q9XWZ3	Caenorhabditis_elegans	216	0.106	23	3	15	prediction-disorder-th_50
Q9U2C3	Caenorhabditis_elegans	209	0.158	33	1	33	prediction-disorder-mobidb_lite
Q18969	Caenorhabditis_elegans	229	0.083	19	2	14	prediction-disorder-th_50
G5EEN6	Caenorhabditis_elegans	818	0.071	58	1	58	prediction-disorder-mobidb_lite
O17915	Caenorhabditis_elegans	215	0.102	22	2	14	prediction-disorder-th_50
Q21735	Caenorhabditis_elegans	133	0.06	8	2	5	prediction-disorder-th_50
O01312	Caenorhabditis_elegans	205	0.01	2	1	2	prediction-disorder-th_50
Q9XU67	Caenorhabditis_elegans	872	0.216	188	4	76	prediction-disorder-mobidb_lite
Q19046	Caenorhabditis_elegans	821	0.141	116	4	37	prediction-disorder-mobidb_lite
G5EEH0	Caenorhabditis_elegans	1020	0.045	46	11	8	prediction-disorder-th_50
G5EBF5	Caenorhabditis_elegans	385	0.078	30	1	30	prediction-disorder-mobidb_lite
Q22307	Caenorhabditis_elegans	1301	0.088	115	3	50	prediction-disorder-mobidb_lite
G5ECC3	Caenorhabditis_elegans	791	0.215	170	4	78	prediction-disorder-mobidb_lite
Q86MG7	Caenorhabditis_elegans	251	0.112	28	1	28	prediction-disorder-mobidb_lite
Q9U6P6	Caenorhabditis_elegans	297	0.108	32	4	19	prediction-disorder-th_50
Q10667	Caenorhabditis_elegans	305	0.072	22	1	22	prediction-disorder-mobidb_lite
Q21322	Caenorhabditis_elegans	206	0.102	21	1	21	prediction-disorder-mobidb_lite
Q21323	Caenorhabditis_elegans	217	0.184	40	1	40	prediction-disorder-mobidb_lite
Q21832	Caenorhabditis_elegans	142	0.183	26	1	26	prediction-disorder-mobidb_lite
Q21155	Caenorhabditis_elegans	289	0.723	209	2	132	prediction-disorder-mobidb_lite
Q9N3S4	Caenorhabditis_elegans	749	0.12	90	2	66	prediction-disorder-mobidb_lite
Q09584	Caenorhabditis_elegans	332	0.44	146	1	146	prediction-disorder-mobidb_lite
Q03604	Caenorhabditis_elegans	788	0.025	20	6	5	prediction-disorder-th_50
Q27274	Caenorhabditis_elegans	643	0.045	29	6	10	prediction-disorder-th_50
Q93572	Caenorhabditis_elegans	312	0.083	26	1	26	prediction-disorder-mobidb_lite
P91913	Caenorhabditis_elegans	111	0.423	47	1	47	prediction-disorder-mobidb_lite
Q18566	Caenorhabditis_elegans	1400	0.027	38	8	15	prediction-disorder-th_50
Q9N4I4	Caenorhabditis_elegans	216	0.083	18	2	9	prediction-disorder-th_50
Q9XVF7	Caenorhabditis_elegans	260	0.088	23	1	23	prediction-disorder-mobidb_lite
P50880	Caenorhabditis_elegans	401	0.055	22	1	22	prediction-disorder-mobidb_lite
O02056	Caenorhabditis_elegans	345	0.171	59	7	19	prediction-disorder-th_50
P49405	Caenorhabditis_elegans	293	0.085	25	1	25	prediction-disorder-mobidb_lite
P47991	Caenorhabditis_elegans	217	0.101	22	6	9	prediction-disorder-th_50
O01802	Caenorhabditis_elegans	244	0.152	37	1	37	prediction-disorder-mobidb_lite
Q966C6	Caenorhabditis_elegans	265	0.132	35	5	14	prediction-disorder-th_50
Q95Y90	Caenorhabditis_elegans	189	0.053	10	2	6	prediction-disorder-th_50
Q94300	Caenorhabditis_elegans	196	0.122	24	3	10	prediction-disorder-th_50
Q19162	Caenorhabditis_elegans	196	0.133	26	3	12	prediction-disorder-th_50
P61866	Caenorhabditis_elegans	165	0.091	15	3	7	prediction-disorder-th_50
P91128	Caenorhabditis_elegans	207	0.242	50	4	20	prediction-disorder-th_50
Q9XVE9	Caenorhabditis_elegans	135	0.037	5	1	5	prediction-disorder-th_50
P91374	Caenorhabditis_elegans	204	0.245	50	1	50	prediction-disorder-mobidb_lite
Q9BL19	Caenorhabditis_elegans	187	0.155	29	1	29	prediction-disorder-mobidb_lite
O45946	Caenorhabditis_elegans	188	0.223	42	1	42	prediction-disorder-mobidb_lite
O02639	Caenorhabditis_elegans	198	0.242	48	2	28	prediction-disorder-mobidb_lite
P34334	Caenorhabditis_elegans	161	0.267	43	3	32	prediction-disorder-th_50
P52819	Caenorhabditis_elegans	130	0.169	22	3	13	prediction-disorder-th_50
P48158	Caenorhabditis_elegans	140	0.114	16	2	11	prediction-disorder-th_50
Q19869	Caenorhabditis_elegans	142	0.169	24	1	24	prediction-disorder-mobidb_lite
P91914	Caenorhabditis_elegans	136	0.044	6	1	6	prediction-disorder-th_50
Q21930	Caenorhabditis_elegans	126	0.238	30	3	18	prediction-disorder-th_50
O45226	Caenorhabditis_elegans	62	0.403	25	1	25	prediction-disorder-mobidb_lite
Q9XWS4	Caenorhabditis_elegans	115	0.157	18	3	10	prediction-disorder-th_50
Q9U332	Caenorhabditis_elegans	122	0.213	26	4	12	prediction-disorder-th_50
Q22716	Caenorhabditis_elegans	134	0.321	43	9	15	prediction-disorder-th_50
P49180	Caenorhabditis_elegans	124	0.121	15	2	12	prediction-disorder-th_50
A3QMC5	Caenorhabditis_elegans	110	0.091	10	2	5	prediction-disorder-th_50
P34662	Caenorhabditis_elegans	123	0.268	33	5	11	prediction-disorder-th_50
P49181	Caenorhabditis_elegans	104	0.452	47	7	21	prediction-disorder-th_50
O17570	Caenorhabditis_elegans	70	0.214	15	4	6	prediction-disorder-th_50
P52814	Caenorhabditis_elegans	51	0.451	23	1	23	prediction-disorder-mobidb_lite
Q9U2A8	Caenorhabditis_elegans	91	0.143	13	2	8	prediction-disorder-th_50
Q04908	Caenorhabditis_elegans	504	0.117	59	7	18	prediction-disorder-th_50
Q20585	Caenorhabditis_elegans	410	0.044	18	1	18	prediction-disorder-th_50
Q23449	Caenorhabditis_elegans	250	0.02	5	2	4	prediction-disorder-th_50
P51403	Caenorhabditis_elegans	272	0.21	57	1	57	prediction-disorder-mobidb_lite
P48152	Caenorhabditis_elegans	247	0.13	32	1	32	prediction-disorder-mobidb_lite
Q9N3X2	Caenorhabditis_elegans	259	0.069	18	2	9	prediction-disorder-th_50
P49041	Caenorhabditis_elegans	210	0.11	23	4	9	prediction-disorder-th_50
Q9NEN6	Caenorhabditis_elegans	246	0.11	27	1	27	prediction-disorder-mobidb_lite
Q23312	Caenorhabditis_elegans	194	0.134	26	3	20	prediction-disorder-th_50
P48156	Caenorhabditis_elegans	208	0.236	49	4	31	prediction-disorder-th_50
Q20228	Caenorhabditis_elegans	189	0.153	29	1	29	prediction-disorder-mobidb_lite
O01869	Caenorhabditis_elegans	149	0.342	51	1	51	prediction-disorder-mobidb_lite
Q20206	Caenorhabditis_elegans	155	0.123	19	3	10	prediction-disorder-th_50
P49196	Caenorhabditis_elegans	140	0.136	19	3	10	prediction-disorder-th_50
P51404	Caenorhabditis_elegans	151	0.179	27	2	17	prediction-disorder-th_50
P48150	Caenorhabditis_elegans	152	0.283	43	3	18	prediction-disorder-th_50
Q9XVP0	Caenorhabditis_elegans	151	0.106	16	4	7	prediction-disorder-th_50
Q22054	Caenorhabditis_elegans	144	0.146	21	1	21	prediction-disorder-mobidb_lite
O01692	Caenorhabditis_elegans	130	0.185	24	1	24	prediction-disorder-mobidb_lite
O18240	Caenorhabditis_elegans	154	0.149	23	2	21	prediction-disorder-th_50
O18650	Caenorhabditis_elegans	146	0.267	39	5	13	prediction-disorder-th_50
Q8WQA8	Caenorhabditis_elegans	117	0.111	13	3	9	prediction-disorder-th_50
P49197	Caenorhabditis_elegans	88	0.261	23	4	9	prediction-disorder-th_50
A0A146I8V3	Caenorhabditis_elegans	48	0.292	14	4	10	prediction-disorder-th_50
Q19877	Caenorhabditis_elegans	143	0.315	45	4	24	prediction-disorder-th_50
Q1XFY9	Caenorhabditis_elegans	131	0.244	32	1	32	prediction-disorder-mobidb_lite
P52821	Caenorhabditis_elegans	117	0.291	34	1	34	prediction-disorder-mobidb_lite
O45499	Caenorhabditis_elegans	117	0.282	33	1	33	prediction-disorder-mobidb_lite
Q9TXP0	Caenorhabditis_elegans	83	0.157	13	3	7	prediction-disorder-th_50
Q95Y04	Caenorhabditis_elegans	65	0.169	11	2	7	prediction-disorder-th_50
P90983	Caenorhabditis_elegans	56	0.393	22	4	9	prediction-disorder-th_50
Q18787	Caenorhabditis_elegans	435	0.055	24	1	24	prediction-disorder-mobidb_lite
O16368	Caenorhabditis_elegans	443	0.12	53	1	53	prediction-disorder-mobidb_lite
P46502	Caenorhabditis_elegans	414	0.051	21	7	6	prediction-disorder-th_50
G3MU40	Caenorhabditis_elegans	1520	0.053	80	14	14	prediction-disorder-th_50
G5EFA8	Caenorhabditis_elegans	1579	0.074	117	11	37	prediction-disorder-th_50
G5EE53	Caenorhabditis_elegans	1765	0.056	99	3	54	prediction-disorder-mobidb_lite
Q19825	Caenorhabditis_elegans	713	0.056	40	1	40	prediction-disorder-mobidb_lite
Q18316	Caenorhabditis_elegans	512	0.016	8	2	4	prediction-disorder-th_50
Q2EEN1	Caenorhabditis_elegans	1129	0.175	198	4	112	prediction-disorder-mobidb_lite
Q19491	Caenorhabditis_elegans	689	0.296	204	1	204	prediction-disorder-mobidb_lite
Q23121	Caenorhabditis_elegans	312	0.558	174	2	117	prediction-disorder-mobidb_lite
Q23120	Caenorhabditis_elegans	281	0.488	137	2	114	prediction-disorder-mobidb_lite
Q9NEW6	Caenorhabditis_elegans	258	0.422	109	2	69	prediction-disorder-mobidb_lite
Q09511	Caenorhabditis_elegans	196	0.541	106	1	106	prediction-disorder-mobidb_lite
Q10021	Caenorhabditis_elegans	208	0.663	138	1	138	prediction-disorder-mobidb_lite
Q18409	Caenorhabditis_elegans	179	0.587	105	1	105	prediction-disorder-mobidb_lite
O01159	Caenorhabditis_elegans	452	0.431	195	1	195	prediction-disorder-mobidb_lite
Q9XTZ2	Caenorhabditis_elegans	309	0.754	233	2	157	prediction-disorder-mobidb_lite
O62185	Caenorhabditis_elegans	601	0.785	472	1	472	prediction-disorder-mobidb_lite
Q09442	Caenorhabditis_elegans	388	0.374	145	1	145	prediction-disorder-mobidb_lite
A0A0K3AUE4	Caenorhabditis_elegans	1968	0.544	1070	14	181	prediction-disorder-mobidb_lite
