accession	gene_name	species	protein_type	old_family	length	pfam_ids
Q17990	lite-1	worm	GPCR	Other	439	PF08395:7tm_7
Q18007	gar-1	worm	GPCR	Other	713	PF00001:7tm_1
Q18321	daf-37	worm	GPCR	Other	482	PF00001:7tm_1
Q18534	npr-1	worm	GPCR	Other	457	PF00001:7tm_1
Q20929	dmsr-1	worm	GPCR	Other	510	PF10324:7TM_GPCR_Srw
Q59E83	npr-22	worm	GPCR	Other	434	PF00001:7tm_1
Q6RYS9	dop-3	worm	GPCR	Other	607	PF00001:7tm_1
Q86ME6	dop-1	worm	GPCR	Other	460	PF00001:7tm_1
Q9U7D5	gar-3	worm	GPCR	Other	611	PF00001:7tm_1
A0A3B1DZW5	srb-12	worm	GPCR	Other	350	PF02175:7TM_GPCR_Srb
O45767	srx-43	worm	GPCR	Other	319	PF10328:7TM_GPCR_Srx
Q09502	npr-18	worm	GPCR	Other	476	PF00001:7tm_1
Q18775	dop-4	worm	GPCR	Other	517	PF00001:7tm_1
Q20963	srb-13	worm	GPCR	Other	345	PF02175:7TM_GPCR_Srb
Q23497	npr-9	worm	GPCR	Other	431	PF00001:7tm_1
Q9U320	daf-38	worm	GPCR	Other	415	PF00001:7tm_1
Q9XX85	str-217	worm	GPCR	Other	344	PF10326:7TM_GPCR_Str
O02300	ntr-1	worm	GPCR	Other	379	PF00001:7tm_1
O17239	nmur-2	worm	GPCR	Other	403	PF00001:7tm_1
O17899	pcdr-1	worm	GPCR	Other	318	PF00001:7tm_1
O62169	ntr-2	worm	GPCR	Other	398	PF00001:7tm_1
O76437	str-33	worm	GPCR	Other	345	PF10326:7TM_GPCR_Str
P30650	seb-2	worm	GPCR	Other	480	PF00002:7tm_2;PF02793:HRM
P90745	npr-3	worm	GPCR	Other	376	PF00001:7tm_1
Q09630	mgl-1	worm	GPCR	Glutamate	999	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q09638	npr-15	worm	GPCR	Other	345	PF00001:7tm_1
Q10904		worm	GPCR	Other	411	PF00001:7tm_1
Q18179	npr-11	worm	GPCR	Other	402	PF00001:7tm_1
Q18904	npr-8	worm	GPCR	Other	490	PF00001:7tm_1
Q19084	tyra-2	worm	GPCR	Other	468	PF00001:7tm_1
Q20961	srb-16	worm	GPCR	Other	342	PF10292:7TM_GPCR_Srab
Q93704	sprr-2	worm	GPCR	Other	451	PF10324:7TM_GPCR_Srw
Q95ZY2	srb-3	worm	GPCR	Other	341	PF02175:7TM_GPCR_Srb
Q95ZY4	srb-5	worm	GPCR	Other	345	PF02175:7TM_GPCR_Srb
P34311		worm	GPCR	Other	436	PF00001:7tm_1
P34488		worm	GPCR	Other	428	PF10324:7TM_GPCR_Srw
P34490	srx-45	worm	GPCR	Other	361	PF10328:7TM_GPCR_Srx
Q03566	tkr-1	worm	GPCR	Other	406	PF00001:7tm_1
Q03613	npr-29	worm	GPCR	Other	395	PF00001:7tm_1
Q09273	sre-2	worm	GPCR	Other	369	PF03125:Sre
Q09344	srab-14	worm	GPCR	Other	389	PF10292:7TM_GPCR_Srab
Q09554		worm	GPCR	Other	377	PF10292:7TM_GPCR_Srab
Q09965		worm	GPCR	Other	374	
Q09966		worm	GPCR	Other	319	
Q10042		worm	GPCR	Other	496	
Q10907		worm	GPCR	Other	364	PF00001:7tm_1
Q10909		worm	GPCR	Other	362	
Q11082		worm	GPCR	Other	434	PF00001:7tm_1
Q11095	frpr-1	worm	GPCR	Other	378	
Q5FC78		worm	GPCR	Other	377	PF10292:7TM_GPCR_Srab
Q960A0		worm	GPCR	Other	582	
Q09964		worm	GPCR	Other	309	
A0A6I8PUB9	gpr4	frog	GPCR	Other	353	PF00001:7tm_1
B0BLW3	lgr4	frog	GPCR	Other	955	PF00001:7tm_1;PF13855:LRR_8
F7D3V9	lgr5	frog	GPCR	Other	902	PF00001:7tm_1;PF13516:LRR_6;PF13855:LRR_8
Q07FZ4	cxcr4	frog	GPCR	Chemokine	358	PF00001:7tm_1;PF12109:CXCR4_N
Q4VA82	aplnr	frog	GPCR	Other	364	PF00001:7tm_1
Q5BL72	fzd7	frog	GPCR	Other	548	PF01534:Frizzled;PF01392:Fz
B3DM66	gpr161	frog	GPCR	Other	518	PF00001:7tm_1
Q0P4Y4	calcrl	frog	GPCR	Other	472	PF00002:7tm_2;PF02793:HRM
O00144	FZD9	human	GPCR	Other	591	PF01534:Frizzled;PF01392:Fz
O00155	GPR25	human	GPCR	Other	361	PF00001:7tm_1
O00222	GRM8	human	GPCR	Glutamate	908	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
O00254	F2RL2	human	GPCR	Other	374	PF00001:7tm_1
O00270	GPR31	human	GPCR	Other	319	PF00001:7tm_1
O00421	CCRL2	human	GPCR	Other	344	PF00001:7tm_1
O00574	CXCR6	human	GPCR	Chemokine	342	PF00001:7tm_1
O00590	ACKR2	human	GPCR	Other	384	PF00001:7tm_1
O14514	ADGRB1	human	GPCR	Other	1584	PF00002:7tm_2;PF19188:AGRB_N;PF16489:GAIN;PF01825:GPS;PF02793:HRM;PF00090:TSP_1
O14804	TAAR5	human	GPCR	Other	337	PF00001:7tm_1
O14842	FFAR1	human	GPCR	Other	300	PF00001:7tm_1
O14843	FFAR3	human	GPCR	Other	346	PF00001:7tm_1
O15303	GRM6	human	GPCR	Glutamate	877	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
O15354	GPR37	human	GPCR	Other	613	PF00001:7tm_1
O15529	GPR42	human	GPCR	Other	346	PF00001:7tm_1
O15552	FFAR2	human	GPCR	Other	330	PF00001:7tm_1
O43193	MLNR	human	GPCR	Other	412	PF00001:7tm_1
O43194	GPR39	human	GPCR	Other	453	PF00001:7tm_1
O43603	GALR2	human	GPCR	Other	387	PF00001:7tm_1
O43613	HCRTR1	human	GPCR	Other	425	PF00001:7tm_1
O43614	HCRTR2	human	GPCR	Other	444	PF00001:7tm_1;PF03827:Orexin_rec2
O43749	OR1F1	human	GPCR	Other	312	PF13853:7tm_4
O60241	ADGRB2	human	GPCR	Other	1585	PF00002:7tm_2;PF19188:AGRB_N;PF16489:GAIN;PF01825:GPS;PF00090:TSP_1
O60242	ADGRB3	human	GPCR	Other	1522	PF00002:7tm_2;PF19188:AGRB_N;PF16489:GAIN;PF01825:GPS;PF02793:HRM;PF00090:TSP_1
O60353	FZD6	human	GPCR	Other	706	PF01534:Frizzled;PF01392:Fz
O60755	GALR3	human	GPCR	Other	368	PF00001:7tm_1
O60883	GPR37L1	human	GPCR	Other	481	PF00001:7tm_1
O75084	FZD7	human	GPCR	Other	574	PF01534:Frizzled;PF01392:Fz
O75473	LGR5	human	GPCR	Other	907	PF00001:7tm_1;PF00560:LRR_1;PF13855:LRR_8;PF01462:LRRNT
O75899	GABBR2	human	GPCR	Glutamate	941	PF00003:7tm_3;PF01094:ANF_receptor;PF18455:GBR2_CC
O94910	ADGRL1	human	GPCR	Other	1474	PF00002:7tm_2;PF16489:GAIN;PF01825:GPS;PF02793:HRM;PF02354:Latrophilin;PF02191:OLF;PF02140:SUEL_Lectin
O95047	OR2A4	human	GPCR	Other	310	PF13853:7tm_4
O95136	S1PR2	human	GPCR	Other	353	PF00001:7tm_1
O95490	ADGRL2	human	GPCR	Other	1459	PF00002:7tm_2;PF16489:GAIN;PF01825:GPS;PF02793:HRM;PF02354:Latrophilin;PF02191:OLF;PF02140:SUEL_Lectin
O95977	S1PR4	human	GPCR	Other	384	PF00001:7tm_1
P03999	OPN1SW	human	GPCR	Other	345	PF00001:7tm_1
P04000	OPN1LW	human	GPCR	Other	364	PF00001:7tm_1
P04001	OPN1MW	human	GPCR	Other	364	PF00001:7tm_1
P04201	MAS1	human	GPCR	Other	325	PF00001:7tm_1
P07550	ADRB2	human	GPCR	Adrenergic	413	PF00001:7tm_1
P08100	RHO	human	GPCR	Other	348	PF00001:7tm_1;PF10413:Rhodopsin_N
P08172	CHRM2	human	GPCR	Other	466	PF00001:7tm_1
P08173	CHRM4	human	GPCR	Other	479	PF00001:7tm_1
P08588	ADRB1	human	GPCR	Adrenergic	477	PF00001:7tm_1
P08908	HTR1A	human	GPCR	Serotonin	422	PF00001:7tm_1
P08912	CHRM5	human	GPCR	Other	532	PF00001:7tm_1
P08913	ADRA2A	human	GPCR	Adrenergic	465	PF00001:7tm_1
P0DMS8	ADORA3	human	GPCR	Other	318	PF00001:7tm_1
P11229	CHRM1	human	GPCR	Other	460	PF00001:7tm_1
P13945	ADRB3	human	GPCR	Adrenergic	408	PF00001:7tm_1
P14416	DRD2	human	GPCR	Dopamine	443	PF00001:7tm_1
P16473	TSHR	human	GPCR	Other	764	PF00001:7tm_1;PF13306:LRR_5
P18089	ADRA2B	human	GPCR	Adrenergic	450	PF00001:7tm_1
P18825	ADRA2C	human	GPCR	Adrenergic	462	PF00001:7tm_1
P20309	CHRM3	human	GPCR	Other	590	PF00001:7tm_1
P21452	TACR2	human	GPCR	Other	398	PF00001:7tm_1
P21453	S1PR1	human	GPCR	Other	382	PF00001:7tm_1
P21462	FPR1	human	GPCR	Other	350	PF00001:7tm_1
P21554	CNR1	human	GPCR	Other	472	PF00001:7tm_1
P21728	DRD1	human	GPCR	Dopamine	446	PF00001:7tm_1
P21730	C5AR1	human	GPCR	Other	350	PF00001:7tm_1
P21731	TBXA2R	human	GPCR	Other	343	PF00001:7tm_1
P21917	DRD4	human	GPCR	Dopamine	419	PF00001:7tm_1
P21918	DRD5	human	GPCR	Dopamine	477	PF00001:7tm_1
P22888	LHCGR	human	GPCR	Other	699	PF00001:7tm_1;PF13306:LRR_5
P23945	FSHR	human	GPCR	Other	695	PF00001:7tm_1;PF12369:GnHR_trans;PF13306:LRR_5;PF01462:LRRNT
P24530	EDNRB	human	GPCR	Other	442	PF00001:7tm_1
P25021	HRH2	human	GPCR	Other	359	PF00001:7tm_1
P25024	CXCR1	human	GPCR	Chemokine	350	PF00001:7tm_1
P25025	CXCR2	human	GPCR	Chemokine	360	PF00001:7tm_1
P25089	FPR3	human	GPCR	Other	353	PF00001:7tm_1
P25090	FPR2	human	GPCR	Other	351	PF00001:7tm_1
P25100	ADRA1D	human	GPCR	Adrenergic	572	PF00001:7tm_1
P25101	EDNRA	human	GPCR	Other	427	PF00001:7tm_1
P25103	TACR1	human	GPCR	Other	407	PF00001:7tm_1
P25105	PTAFR	human	GPCR	Other	342	PF00001:7tm_1
P25106	ACKR3	human	GPCR	Other	362	PF00001:7tm_1
P25116	F2R	human	GPCR	Other	425	PF00001:7tm_1
P25929	NPY1R	human	GPCR	Other	384	PF00001:7tm_1
P28221	HTR1D	human	GPCR	Serotonin	377	PF00001:7tm_1
P28222	HTR1B	human	GPCR	Serotonin	390	PF00001:7tm_1
P28223	HTR2A	human	GPCR	Serotonin	471	PF00001:7tm_1
P28335	HTR2C	human	GPCR	Serotonin	458	PF00001:7tm_1
P28336	NMBR	human	GPCR	Other	390	PF00001:7tm_1
P28566	HTR1E	human	GPCR	Serotonin	365	PF00001:7tm_1
P29274	ADORA2A	human	GPCR	Other	412	PF00001:7tm_1
P29275	ADORA2B	human	GPCR	Other	332	PF00001:7tm_1
P29371	TACR3	human	GPCR	Other	465	PF00001:7tm_1
P30411	BDKRB2	human	GPCR	Other	391	PF00001:7tm_1
P30518	AVPR2	human	GPCR	Other	371	PF00001:7tm_1
P30542	ADORA1	human	GPCR	Other	326	PF00001:7tm_1
P30550	GRPR	human	GPCR	Other	384	PF00001:7tm_1
P30556	AGTR1	human	GPCR	Other	359	PF00001:7tm_1
P30559	OXTR	human	GPCR	Other	389	PF00001:7tm_1
P30872	SSTR1	human	GPCR	Other	391	PF00001:7tm_1
P30874	SSTR2	human	GPCR	Other	369	PF00001:7tm_1
P30939	HTR1F	human	GPCR	Serotonin	366	PF00001:7tm_1
P30968	GNRHR	human	GPCR	Other	328	PF00001:7tm_1
P30988	CALCR	human	GPCR	Other	474	PF00002:7tm_2;PF02793:HRM
P30989	NTSR1	human	GPCR	Other	418	PF00001:7tm_1
P31391	SSTR4	human	GPCR	Other	388	PF00001:7tm_1
P32238	CCKAR	human	GPCR	Other	428	PF00001:7tm_1;PF09193:CholecysA-Rec_N
P32239	CCKBR	human	GPCR	Other	447	PF00001:7tm_1
P32241	VIPR1	human	GPCR	Other	457	PF00002:7tm_2;PF02793:HRM
P32245	MC4R	human	GPCR	Other	332	PF00001:7tm_1
P32246	CCR1	human	GPCR	Chemokine	355	PF00001:7tm_1
P32247	BRS3	human	GPCR	Other	399	PF00001:7tm_1
P32248	CCR7	human	GPCR	Chemokine	378	PF00001:7tm_1
P32249	GPR183	human	GPCR	Other	361	PF00001:7tm_1
P32302	CXCR5	human	GPCR	Chemokine	372	PF00001:7tm_1
P32745	SSTR3	human	GPCR	Other	418	PF00001:7tm_1
P33032	MC5R	human	GPCR	Other	325	PF00001:7tm_1
P34969	HTR7	human	GPCR	Serotonin	479	PF00001:7tm_1
P34972	CNR2	human	GPCR	Other	360	PF00001:7tm_1
P34981	TRHR	human	GPCR	Other	398	PF00001:7tm_1
P34982	OR1D2	human	GPCR	Other	312	PF13853:7tm_4
P34995	PTGER1	human	GPCR	Other	402	PF00001:7tm_1
P34998	CRHR1	human	GPCR	Other	415	PF00002:7tm_2;PF02793:HRM
P35346	SSTR5	human	GPCR	Other	364	PF00001:7tm_1
P35348	ADRA1A	human	GPCR	Adrenergic	466	PF00001:7tm_1
P35367	HRH1	human	GPCR	Other	487	PF00001:7tm_1
P35368	ADRA1B	human	GPCR	Adrenergic	520	PF00001:7tm_1
P35372	OPRM1	human	GPCR	Other	400	PF00001:7tm_1
P35408	PTGER4	human	GPCR	Other	488	PF00001:7tm_1
P35414	APLNR	human	GPCR	Other	380	PF00001:7tm_1
P35462	DRD3	human	GPCR	Dopamine	400	PF00001:7tm_1
P37288	AVPR1A	human	GPCR	Other	418	PF00001:7tm_1;PF08983:V1R_C
P41143	OPRD1	human	GPCR	Other	372	PF00001:7tm_1
P41145	OPRK1	human	GPCR	Other	380	PF00001:7tm_1
P41146	OPRL1	human	GPCR	Other	370	PF00001:7tm_1
P41180	CASR	human	GPCR	Other	1078	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
P41231	P2RY2	human	GPCR	Other	377	PF00001:7tm_1
P41586	ADCYAP1R1	human	GPCR	Other	468	PF00002:7tm_2;PF02793:HRM
P41587	VIPR2	human	GPCR	Other	438	PF00002:7tm_2;PF02793:HRM
P41594	GRM5	human	GPCR	Glutamate	1212	PF00003:7tm_3;PF01094:ANF_receptor;PF10606:GluR_Homer-bdg;PF07562:NCD3G
P41595	HTR2B	human	GPCR	Serotonin	481	PF00001:7tm_1
P41597	CCR2	human	GPCR	Chemokine	374	PF00001:7tm_1
P41968	MC3R	human	GPCR	Other	323	PF00001:7tm_1
P43088	PTGFR	human	GPCR	Other	359	PF00001:7tm_1
P43115	PTGER3	human	GPCR	Other	390	PF00001:7tm_1
P43116	PTGER2	human	GPCR	Other	358	PF00001:7tm_1
P43119	PTGIR	human	GPCR	Other	386	PF00001:7tm_1
P43220	GLP1R	human	GPCR	Other	463	PF00002:7tm_2;PF02793:HRM
P43657	LPAR6	human	GPCR	Other	344	PF00001:7tm_1
P46089	GPR3	human	GPCR	Other	330	PF00001:7tm_1
P46091	CMKLR2	human	GPCR	Other	355	PF00001:7tm_1
P46092	CCR10	human	GPCR	Chemokine	362	PF00001:7tm_1
P46093	GPR4	human	GPCR	Other	362	PF00001:7tm_1
P46094	XCR1	human	GPCR	Other	333	PF00001:7tm_1
P46663	BDKRB1	human	GPCR	Other	353	PF00001:7tm_1
P47211	GALR1	human	GPCR	Other	349	PF00001:7tm_1
P47804	RGR	human	GPCR	Other	291	PF00001:7tm_1
P47871	GCGR	human	GPCR	Other	477	PF00002:7tm_2;PF02793:HRM
P47872	SCTR	human	GPCR	Other	440	PF00002:7tm_2;PF02793:HRM
P47898	HTR5A	human	GPCR	Serotonin	357	PF00001:7tm_1
P47900	P2RY1	human	GPCR	Other	373	PF00001:7tm_1
P47901	AVPR1B	human	GPCR	Other	424	PF00001:7tm_1
P48039	MTNR1A	human	GPCR	Other	350	PF00001:7tm_1
P48145	NPBWR1	human	GPCR	Other	328	PF00001:7tm_1
P48146	NPBWR2	human	GPCR	Other	333	PF00001:7tm_1
P48546	GIPR	human	GPCR	Other	466	PF00002:7tm_2;PF02793:HRM
P48960	ADGRE5	human	GPCR	Other	835	PF00002:7tm_2;PF07645:EGF_CA;PF01825:GPS
P49019	HCAR3	human	GPCR	Other	387	PF00001:7tm_1
P49146	NPY2R	human	GPCR	Other	381	PF00001:7tm_1
P49190	PTH2R	human	GPCR	Other	550	PF00002:7tm_2;PF02793:HRM
P49238	CX3CR1	human	GPCR	Other	355	PF00001:7tm_1
P49286	MTNR1B	human	GPCR	Other	362	PF00001:7tm_1
P49682	CXCR3	human	GPCR	Chemokine	368	PF00001:7tm_1
P49683	PRLHR	human	GPCR	Other	370	PF00001:7tm_1
P49685	GPR15	human	GPCR	Other	360	PF00001:7tm_1
P50052	AGTR2	human	GPCR	Other	363	PF00001:7tm_1
P50391	NPY4R	human	GPCR	Other	375	PF00001:7tm_1
P50406	HTR6	human	GPCR	Serotonin	440	PF00001:7tm_1
P51582	P2RY4	human	GPCR	Other	365	PF00001:7tm_1
P51677	CCR3	human	GPCR	Chemokine	355	PF00001:7tm_1
P51679	CCR4	human	GPCR	Chemokine	360	PF00001:7tm_1
P51681	CCR5	human	GPCR	Chemokine	352	PF00001:7tm_1
P51684	CCR6	human	GPCR	Chemokine	374	PF00001:7tm_1
P51685	CCR8	human	GPCR	Chemokine	355	PF00001:7tm_1
P51686	CCR9	human	GPCR	Chemokine	369	PF00001:7tm_1
P51810	GPR143	human	GPCR	Other	404	PF02101:Ocular_alb
P55085	F2RL1	human	GPCR	Other	397	PF00001:7tm_1
P59542	TAS2R19	human	GPCR	Other	299	PF05296:TAS2R
P61073	CXCR4	human	GPCR	Chemokine	352	PF00001:7tm_1;PF12109:CXCR4_N
Q01718	MC2R	human	GPCR	Other	297	PF00001:7tm_1
Q01726	MC1R	human	GPCR	Other	317	PF00001:7tm_1
Q02643	GHRHR	human	GPCR	Other	423	PF00002:7tm_2;PF02793:HRM
Q03431	PTH1R	human	GPCR	Other	593	PF00002:7tm_2;PF02793:HRM
Q13255	GRM1	human	GPCR	Glutamate	1194	PF00003:7tm_3;PF01094:ANF_receptor;PF10606:GluR_Homer-bdg;PF07562:NCD3G
Q13258	PTGDR	human	GPCR	Other	359	PF00001:7tm_1
Q13304	GPR17	human	GPCR	Other	367	PF00001:7tm_1
Q13324	CRHR2	human	GPCR	Other	411	PF00002:7tm_2;PF02793:HRM
Q13467	FZD5	human	GPCR	Other	585	PF01534:Frizzled;PF01392:Fz
Q13585	GPR50	human	GPCR	Other	617	PF00001:7tm_1
Q13639	HTR4	human	GPCR	Serotonin	388	PF00001:7tm_1
Q14246	ADGRE1	human	GPCR	Other	886	PF00002:7tm_2;PF07645:EGF_CA;PF01825:GPS
Q14330	GPR18	human	GPCR	Other	331	PF00001:7tm_1
Q14332	FZD2	human	GPCR	Other	565	PF01534:Frizzled;PF01392:Fz
Q14416	GRM2	human	GPCR	Glutamate	872	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q14831	GRM7	human	GPCR	Glutamate	915	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q14832	GRM3	human	GPCR	Glutamate	879	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q14833	GRM4	human	GPCR	Glutamate	912	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q15077	P2RY6	human	GPCR	Other	328	PF00001:7tm_1
Q15722	LTB4R	human	GPCR	Other	352	PF00001:7tm_1
Q15743	GPR68	human	GPCR	Other	365	PF00001:7tm_1
Q15761	NPY5R	human	GPCR	Other	445	PF00001:7tm_1
Q16570	ACKR1	human	GPCR	Other	336	
Q16581	C3AR1	human	GPCR	Other	482	PF00001:7tm_1
Q16602	CALCRL	human	GPCR	Other	461	PF00002:7tm_2;PF02793:HRM
Q5NUL3	FFAR4	human	GPCR	Other	361	PF00001:7tm_1
Q5T601	ADGRF1	human	GPCR	Other	910	PF00002:7tm_2;PF01825:GPS;PF01390:SEA
Q5T6X5	GPRC6A	human	GPCR	Other	926	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q5T848	GPR158	human	GPCR	Other	1215	PF00003:7tm_3;PF22572:GPR158_179_EC
Q6PRD1	GPR179	human	GPCR	Other	2367	PF00003:7tm_3;PF22572:GPR158_179_EC
Q6QNK2	ADGRD1	human	GPCR	Other	874	PF00002:7tm_2;PF01825:GPS;PF13385:Laminin_G_3
Q6U736	OPN5	human	GPCR	Other	354	PF00001:7tm_1
Q6W5P4	NPSR1	human	GPCR	Other	371	PF00001:7tm_1
Q7RTX0	TAS1R3	human	GPCR	Other	852	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q7RTX1	TAS1R1	human	GPCR	Other	841	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q7Z602	GPR141	human	GPCR	Other	305	PF00001:7tm_1
Q86SQ3	ADGRE4P	human	GPCR	Other	457	PF00002:7tm_2;PF07645:EGF_CA;PF01825:GPS
Q86SQ4	ADGRG6	human	GPCR	Other	1221	PF00002:7tm_2;PF00431:CUB;PF26574:GAIN_ADGRG2;PF01825:GPS;PF00354:Pentaxin;PF25307:SEA_Gpr126
Q86SQ6	ADGRA1	human	GPCR	Other	560	PF00002:7tm_2
Q86VZ1	P2RY8	human	GPCR	Other	359	PF00001:7tm_1
Q86Y34	ADGRG3	human	GPCR	Other	549	PF00002:7tm_2;PF01825:GPS
Q8IWK6	ADGRA3	human	GPCR	Other	1321	PF00002:7tm_2;PF26588:GAIN_ADGRA3;PF01825:GPS;PF13855:LRR_8
Q8IYL9	GPR65	human	GPCR	Other	337	PF00001:7tm_1
Q8IZ08	GPR135	human	GPCR	Other	494	PF00001:7tm_1
Q8IZF2	ADGRF5	human	GPCR	Other	1346	PF00002:7tm_2;PF25387:ADGRF3_N;PF01825:GPS;PF13927:Ig_3;PF01390:SEA
Q8IZF3	ADGRF4	human	GPCR	Other	695	PF00002:7tm_2;PF01825:GPS
Q8IZF4	ADGRG5	human	GPCR	Other	528	PF00002:7tm_2;PF01825:GPS
Q8IZF5	ADGRF3	human	GPCR	Other	1079	PF00002:7tm_2;PF25387:ADGRF3_N;PF01825:GPS;PF02793:HRM;PF24528:Ig_ADGRF3
Q8IZF6	ADGRG4	human	GPCR	Other	3080	PF00002:7tm_2;PF01825:GPS;PF00354:Pentaxin
Q8IZF7	ADGRF2P	human	GPCR	Other	708	PF00002:7tm_2;PF01825:GPS
Q8IZP9	ADGRG2	human	GPCR	Other	1017	PF00002:7tm_2;PF26152:ADGRG2_N;PF26574:GAIN_ADGRG2;PF01825:GPS
Q8N6U8	GPR161	human	GPCR	Other	529	PF00001:7tm_1
Q8NFJ5	GPRC5A	human	GPCR	Other	357	PF00003:7tm_3
Q8NFJ6	PROKR2	human	GPCR	Other	384	PF00001:7tm_1
Q8NFN8	GPR156	human	GPCR	Other	814	PF00003:7tm_3
Q8NG98	OR7D4	human	GPCR	Other	312	PF13853:7tm_4
Q8NGI8	OR5AN1	human	GPCR	Other	311	PF13853:7tm_4
Q8NHC4	OR10J5	human	GPCR	Other	309	PF13853:7tm_4
Q8TDS4	HCAR2	human	GPCR	Other	363	PF00001:7tm_1
Q8TDS5	OXER1	human	GPCR	Other	384	PF00001:7tm_1
Q8TDT2	GPR152	human	GPCR	Other	470	PF00001:7tm_1
Q8TDU6	GPBAR1	human	GPCR	Other	330	PF00001:7tm_1
Q8TDV0	GPR151	human	GPCR	Other	419	PF00001:7tm_1
Q8TE23	TAS1R2	human	GPCR	Other	839	PF00003:7tm_3;PF01094:ANF_receptor;PF07562:NCD3G
Q8WXD0	RXFP2	human	GPCR	Other	754	PF00001:7tm_1;PF00057:Ldl_recept_a;PF13855:LRR_8
Q8WXG9	ADGRV1	human	GPCR	Other	6306	PF00002:7tm_2;PF03160:Calx-beta;PF03736:EPTP;PF13385:Laminin_G_3
Q92633	LPAR1	human	GPCR	Other	364	PF00001:7tm_1
Q92847	GHSR	human	GPCR	Other	366	PF00001:7tm_1
Q969F8	KISS1R	human	GPCR	Other	398	PF00001:7tm_1
Q96G91	P2RY11	human	GPCR	Other	374	PF00001:7tm_1
Q96K78	ADGRG7	human	GPCR	Other	797	PF00002:7tm_2;PF22261:GPR128_GAIN_subdom_B;PF22259:GPR128_GAIN_subdomA;PF22257:GPR128_N;PF01825:GPS
Q96KK4	OR10C1	human	GPCR	Other	312	PF13853:7tm_4
Q96LB1	MRGPRX2	human	GPCR	Other	330	PF00001:7tm_1
Q96LB2	MRGPRX1	human	GPCR	Other	322	PF00001:7tm_1
Q96P65	QRFPR	human	GPCR	Other	431	PF00001:7tm_1
Q96P66	GPR101	human	GPCR	Other	508	PF00001:7tm_1
Q96P68	OXGR1	human	GPCR	Other	337	PF00001:7tm_1
Q96PE1	ADGRA2	human	GPCR	Other	1338	PF00002:7tm_2;PF26588:GAIN_ADGRA3;PF01825:GPS;PF13855:LRR_8
Q96RI0	F2RL3	human	GPCR	Other	385	PF00001:7tm_1
Q96RI8	TAAR6	human	GPCR	Other	345	PF00001:7tm_1
Q96RJ0	TAAR1	human	GPCR	Other	339	PF00001:7tm_1
Q99500	S1PR3	human	GPCR	Other	378	PF00001:7tm_1
Q99527	GPER1	human	GPCR	Other	375	PF00001:7tm_1
Q99677	LPAR4	human	GPCR	Other	370	PF00001:7tm_1
Q99705	MCHR1	human	GPCR	Other	353	PF00001:7tm_1
Q99788	CMKLR1	human	GPCR	Other	373	PF00001:7tm_1
Q99835	SMO	human	GPCR	Other	787	PF01534:Frizzled;PF01392:Fz
Q9BPV8	P2RY13	human	GPCR	Other	354	PF00001:7tm_1
Q9BXA5	SUCNR1	human	GPCR	Other	334	PF00001:7tm_1
Q9BXB1	LGR4	human	GPCR	Other	951	PF00001:7tm_1;PF00560:LRR_1;PF13855:LRR_8;PF01462:LRRNT
Q9BXC0	HCAR1	human	GPCR	Other	346	PF00001:7tm_1
Q9BXC1	GPR174	human	GPCR	Other	333	PF00001:7tm_1
Q9BY15	ADGRE3	human	GPCR	Other	652	PF00002:7tm_2;PF07645:EGF_CA;PF01825:GPS
Q9BZJ7	GPR62	human	GPCR	Other	368	PF00001:7tm_1
Q9BZJ8	GPR61	human	GPCR	Other	451	PF00001:7tm_1
Q9GZN0	GPR88	human	GPCR	Other	384	PF00001:7tm_1
Q9GZQ4	NMUR2	human	GPCR	Other	415	PF00001:7tm_1;PF19285:NmU-R2_C_term
Q9GZQ6	NPFFR1	human	GPCR	Other	430	PF00001:7tm_1
Q9H1Y3	OPN3	human	GPCR	Other	402	PF00001:7tm_1
Q9H228	S1PR5	human	GPCR	Other	398	PF00001:7tm_1
Q9H244	P2RY12	human	GPCR	Other	342	PF00001:7tm_1
Q9H255	OR51E2	human	GPCR	Other	320	PF13853:7tm_4
Q9H3N8	HRH4	human	GPCR	Other	390	PF00001:7tm_1
Q9H461	FZD8	human	GPCR	Other	694	PF01534:Frizzled;PF01392:Fz
Q9HAR2	ADGRL3	human	GPCR	Other	1447	PF00002:7tm_2;PF16489:GAIN;PF01825:GPS;PF02793:HRM;PF02354:Latrophilin;PF02191:OLF;PF02140:SUEL_Lectin
Q9HB89	NMUR1	human	GPCR	Other	426	PF00001:7tm_1
Q9HBW0	LPAR2	human	GPCR	Other	348	PF00001:7tm_1
